,Address.City,0
0,4910,1
1,4955 Gondiswil Schweiz,1
2,6417 Sattel,1
3,6422 Steinen,3
4,6430 Schwyz,1
5,Aadorf,2
6,Aarau,16
7,Aarberg,2
8,Abtwil,1
9,Adelboden,6
10,Adelschlag,1
11,Adlikon,1
12,Adliswil,13
13,Aesch,3
14,Aetingen,1
15,Affoltern am Albis,5
16,Agno,1
17,Agra,1
18,Aigle,7
19,Aire-la-Ville,3
20,Airolo,1
21,Albeuve,2
22,Allschwil,4
23,Alpnach,1
24,Alt St. Johann,2
25,Altdorf,3
26,Altendorf,3
27,Altheim,1
28,Altstadt Kleinbasel,1
29,Altstätten,3
30,Alzey,2
31,Amden,2
32,Amlikon-Bissegg,1
33,Amlikon-Bissegg Bissegg,1
34,Amriswil,3
35,Amriswil-Aachtal,1
36,Andeer,1
37,Andermatt,1
38,Anières,1
39,Anzère,3
40,Appenzell,4
41,Aranno,1
42,Arbaz,2
43,Arbon,5
44,Ardez,1
45,Ardon,6
46,Arni BE,1
47,Arosa,6
48,Arzo,1
49,Attalens,2
50,Au SG,1
51,Aubonne,2
52,Auvernier,1
53,Auw,1
54,Außerguggenberg,1
55,Avegno,1
56,Avenches,2
57,Avry-devant-Pont,2
58,Avully,1
59,Ayent,1
60,Aïre,2
61,Baar,62
62,Babenhausen,2
63,Bachenbülach,3
64,Bad Ragaz,4
65,Bad Zurzach,1
66,Baden,10
67,Baden-Dättwil,1
68,Balerna,2
69,Balgach,1
70,Ballaigues,2
71,Ballens,1
72,Ballwil,2
73,Barmelweid,1
74,Bas-Vully,1
75,Basel,5
76,Bauen,1
77,Bauma,1
78,Bavois,1
79,Bazenheid,1
80,Beckenried,3
81,Bedano,1
82,Bedigliora,1
83,Belfaux,1
84,Bellach,2
85,Bellevue GE,2
86,Bellinzona,9
87,Bellwald,1
88,Belp,4
89,Bendern,1
90,Benken,1
91,Bercher,1
92,Berg SG,1
93,Bergün,1
94,Berikon,2
95,Bern,37
96,Bern 22,1
97,Bern Kirchenfeld-Schosshalde,1
98,Bernex,5
99,Besazio,1
100,Bettwil,17
101,Bevaix,2
102,Bever,1
103,Bevern,1
104,Bex,2
105,Biasca,1
106,Biberist,2
107,Bidogno,1
108,Biel,4
109,Biel-Benken,2
110,Biel/Bienne,16
111,Bienne,5
112,Binn,2
113,Bioggio,2
114,Birmensdorf,1
115,Birmenstorf,1
116,Birsfelden,1
117,Bischofszell,2
118,Bisisthal,1
119,Bissone,1
120,Bitsch,1
121,Bivio,2
122,Bivio - Surses,1
123,Bière,1
124,Blatten bei Naters,2
125,Blaustein,1
126,Blonay,1
127,Bolligen,1
128,Bonstetten,2
129,Bosco-Gurin,1
130,Bossonnens,2
131,Boswil,1
132,Bottenwil,1
133,Bottmingen,1
134,Botyre,1
135,Boudevilliers,2
136,Boudry,5
137,Bougy-Villars,2
138,Bourg-St-Pierre,1
139,Bourg-en-Lavaux,2
140,Bovernier,1
141,Brail,1
142,Bramois,2
143,Bregaglia (Castasegna),1
144,Breganzona,1
145,Breitenbach,1
146,Bremblens,5
147,Bremgarten,2
148,Bretten,4
149,Bretzwil,1
150,Brienz,2
151,Brig,3
152,Brig-Glis,1
153,Brione Verzasca,1
154,Brione sopra Minusio,1
155,Brislach,1
156,Brissago,1
157,Broc,2
158,Brugg,4
159,Brugg AG,1
160,Brunnadern,1
161,Brunnen,2
162,Brusino Arsizio,1
163,Brusio,2
164,Bruzella,1
165,Brè sopra Lugano,1
166,Brügg,2
167,Brüttisellen,1
168,Buchrain,13
169,Buchs,14
170,Buchs AG,1
171,Budapest,1
172,Bulle,6
173,Burgdorf,4
174,Bursinel,1
175,Bursins,3
176,Bussigny,5
