,City,2017,2018,2019,2020,2021,2022_pred,2023_pred,2024_pred,Count,recomm_2022,recomm_2023,recom_2024
0,Affoltern am Albis,29,35,54,75,103,142.0,196.0,270.0,5.0,7.0,10.0,14.0
1,Bonstetten,18,21,29,37,70,100.0,143.0,204.0,2.0,3.0,4.0,6.0
2,Mettmenstetten,20,26,36,41,60,79.0,105.0,139.0,3.0,4.0,5.0,7.0
3,Obfelden,11,18,30,40,68,108.0,171.0,270.0,1.0,2.0,3.0,5.0
4,Adlikon,1,5,4,6,11,25.0,57.0,131.0,1.0,2.0,5.0,11.0
5,Feuerthalen,10,15,16,22,32,43.0,58.0,79.0,1.0,1.0,1.0,1.0
6,Henggart,7,13,18,22,37,57.0,87.0,134.0,1.0,2.0,3.0,5.0
7,Ossingen,4,6,9,11,13,18.0,24.0,32.0,1.0,1.0,1.0,1.0
8,Rheinau,4,5,7,7,10,13.0,16.0,20.0,1.0,1.0,1.0,1.0
9,Bachenbülach,8,11,21,35,72,126.0,221.0,387.0,3.0,5.0,9.0,16.0
10,Bülach,32,49,74,92,151,224.0,331.0,491.0,2.0,3.0,4.0,6.0
11,Dietlikon,34,45,54,54,98,131.0,175.0,233.0,1.0,1.0,1.0,1.0
12,Embrach,20,26,39,54,89,130.0,189.0,276.0,1.0,1.0,1.0,1.0
13,Kloten,28,46,70,101,224,382.0,652.0,1113.0,4.0,7.0,12.0,20.0
14,Opfikon,74,51,65,125,250,368.0,541.0,797.0,11.0,16.0,24.0,35.0
15,Wallisellen,37,53,91,134,198,302.0,460.0,702.0,2.0,3.0,5.0,8.0
16,Dielsdorf,375,738,297,240,208,210.0,213.0,215.0,2.0,2.0,2.0,2.0
17,Niederweningen,9,15,15,21,33,47.0,66.0,92.0,1.0,1.0,1.0,1.0
18,Oberglatt,10,13,16,20,34,47.0,64.0,87.0,1.0,1.0,1.0,1.0
19,Oberweningen,6,9,12,14,20,27.0,37.0,50.0,1.0,1.0,1.0,1.0
20,Otelfingen,2,7,14,19,24,49.0,99.0,201.0,2.0,4.0,8.0,16.0
21,Regensdorf,37,44,62,85,118,158.0,212.0,284.0,1.0,1.0,1.0,1.0
22,Dürnten,21,34,55,71,98,145.0,214.0,316.0,1.0,1.0,1.0,1.0
23,Fischenthal,2,4,7,14,20,36.0,64.0,116.0,1.0,2.0,4.0,7.0
24,Hinwil,38,50,61,79,125,169.0,229.0,310.0,4.0,5.0,7.0,9.0
25,Adliswil,29,32,61,88,145,221.0,337.0,514.0,13.0,20.0,30.0,46.0
26,Thalwil,41,55,82,124,202,302.0,451.0,673.0,2.0,3.0,4.0,6.0
27,Herrliberg,23,28,48,71,96,138.0,199.0,287.0,1.0,1.0,1.0,1.0
28,Männedorf,24,30,47,91,139,218.0,343.0,538.0,3.0,5.0,8.0,13.0
29,Oetwil am See,8,8,16,23,39,60.0,92.0,141.0,1.0,2.0,3.0,5.0
30,Stäfa,36,41,77,117,179,271.0,412.0,624.0,1.0,2.0,3.0,5.0
31,Zumikon,21,23,40,62,94,139.0,205.0,302.0,1.0,1.0,1.0,1.0
32,Zollikon,41,54,75,113,169,241.0,344.0,491.0,3.0,4.0,6.0,9.0
33,Lindau,24,26,35,52,81,111.0,152.0,207.0,3.0,4.0,5.0,7.0
34,Pfäffikon,24,31,40,73,117,176.0,264.0,397.0,5.0,8.0,12.0,18.0
35,Russikon,13,15,21,30,47,65.0,90.0,125.0,1.0,1.0,1.0,1.0
36,Dübendorf,51,81,113,170,283,435.0,670.0,1030.0,2.0,3.0,5.0,8.0
37,Fällanden,22,28,34,64,100,148.0,220.0,326.0,1.0,1.0,1.0,1.0
38,Mönchaltorf,8,14,25,35,45,70.0,109.0,169.0,1.0,2.0,3.0,5.0
39,Schwerzenbach,8,9,18,22,34,50.0,74.0,109.0,1.0,1.0,1.0,1.0
40,Uster,62,86,143,196,293,433.0,641.0,948.0,8.0,12.0,18.0,27.0
41,Volketswil,46,55,83,114,180,255.0,360.0,509.0,4.0,6.0,8.0,11.0
42,Wangen-Brüttisellen,12,19,29,41,65,99.0,152.0,232.0,1.0,2.0,3.0,5.0
43,Elsau,8,9,16,16,27,38.0,53.0,74.0,2.0,3.0,4.0,6.0
44,Pfungen,10,12,15,23,30,40.0,52.0,69.0,2.0,3.0,4.0,5.0
45,Seuzach,24,27,32,46,77,104.0,141.0,192.0,9.0,12.0,16.0,22.0
46,Turbenthal,9,8,14,19,32,45.0,65.0,92.0,2.0,3.0,4.0,6.0
47,Winterthur,173,232,389,586,830,1233.0,1831.0,2719.0,13.0,19.0,28.0,42.0
48,Dietikon,42,53,65,111,150,208.0,288.0,400.0,10.0,14.0,19.0,26.0
49,Geroldswil,12,16,28,36,53,77.0,113.0,165.0,1.0,1.0,1.0,1.0
50,Schlieren,37,49,68,124,232,372.0,595.0,953.0,19.0,30.0,48.0,77.0
51,Zürich,815,940,1392,2036,3017,4208.0,5868.0,8185.0,39.0,54.0,75.0,105.0
52,Wädenswil,44,56,91,143,243,375.0,578.0,891.0,2.0,3.0,5.0,8.0
53,Horgen,42,53,99,166,271,436.0,702.0,1130.0,1.0,2.0,3.0,5.0
54,Illnau-Effretikon,40,46,67,96,134,182.0,247.0,336.0,2.0,3.0,4.0,5.0
55,Bauma,9,15,21,24,36,51.0,73.0,105.0,1.0,1.0,1.0,1.0
56,Aarberg,14,19,22,31,50,69.0,96.0,133.0,2.0,3.0,4.0,6.0
57,Kallnach,2,3,4,10,17,30.0,53.0,92.0,1.0,2.0,4.0,7.0
58,Lyss,18,23,34,58,100,155.0,239.0,370.0,9.0,14.0,22.0,34.0
59,Langenthal,31,35,68,89,246,439.0,785.0,1402.0,18.0,32.0,57.0,102.0
60,Madiswil,5,5,13,12,14,20.0,28.0,40.0,1.0,1.0,1.0,1.0
61,Melchnau,3,3,5,7,11,16.0,22.0,31.0,1.0,1.0,1.0,1.0
62,Rohrbach,2,3,5,4,9,14.0,22.0,34.0,2.0,3.0,5.0,8.0
63,Ursenbach,1,2,4,4,5,8.0,12.0,19.0,4.0,6.0,9.0,14.0
64,Bern,178,227,329,489,820,1207.0,1777.0,2615.0,37.0,54.0,80.0,118.0
65,Bolligen,5,8,17,26,41,70.0,120.0,204.0,1.0,2.0,3.0,5.0
