,City,2017,2018,2019,2020,2021,2022_pred,2023_pred,2024_pred,Count,recomm_2022,diff_2022,recomm_2023,diff_2023,recomm_2024,diff_2024
0,Gondiswil Schweiz,,,,,,,,,1.0,,,,,,
1,Sattel,1.0,4.0,7.0,9.0,11.0,23.0,47.0,97.0,1.0,2.0,1.0,4.0,2.0,8.0,4.0
2,Steinen,11.0,10.0,15.0,17.0,27.0,35.0,44.0,57.0,3.0,4.0,1.0,5.0,1.0,6.0,1.0
3,Aadorf,29.0,31.0,43.0,69.0,135.0,203.0,305.0,460.0,2.0,3.0,1.0,5.0,2.0,8.0,3.0
4,Aarau,44.0,67.0,106.0,145.0,227.0,343.0,517.0,781.0,16.0,24.0,8.0,36.0,12.0,54.0,18.0
5,Aarberg,14.0,19.0,22.0,31.0,50.0,69.0,96.0,133.0,2.0,3.0,1.0,4.0,1.0,6.0,2.0
6,Abtwil,2.0,2.0,4.0,6.0,14.0,24.0,41.0,70.0,1.0,2.0,1.0,3.0,1.0,5.0,2.0
7,Adelboden,2.0,2.0,3.0,4.0,8.0,12.0,17.0,25.0,6.0,9.0,3.0,13.0,4.0,19.0,6.0
8,Adelschlag,,,,,,,,,1.0,,,,,,
9,Adlikon,1.0,5.0,4.0,6.0,11.0,25.0,57.0,131.0,1.0,2.0,1.0,5.0,3.0,11.0,6.0
10,Adliswil,29.0,32.0,61.0,88.0,145.0,221.0,337.0,514.0,13.0,20.0,7.0,30.0,10.0,46.0,16.0
11,Aesch,,,,,,,,,3.0,,,,,,
12,Aetingen,,,,,,,,,1.0,,,,,,
13,Affoltern am Albis,29.0,35.0,54.0,75.0,103.0,142.0,196.0,270.0,5.0,7.0,2.0,10.0,3.0,14.0,4.0
14,Agno,3.0,5.0,6.0,9.0,21.0,35.0,59.0,99.0,1.0,2.0,1.0,3.0,1.0,5.0,2.0
15,Agra,,,,,,,,,1.0,,,,,,
16,Aigle,12.0,15.0,17.0,35.0,46.0,66.0,95.0,137.0,7.0,10.0,3.0,14.0,4.0,20.0,6.0
17,Aire-la-Ville,1.0,2.0,2.0,4.0,15.0,33.0,72.0,157.0,3.0,7.0,4.0,15.0,8.0,33.0,18.0
18,Airolo,2.0,2.0,4.0,6.0,6.0,8.0,11.0,16.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
19,Albeuve,,,,,,,,,2.0,,,,,,
20,Allschwil,18.0,28.0,36.0,57.0,102.0,158.0,246.0,382.0,4.0,6.0,2.0,9.0,3.0,14.0,5.0
21,Alpnach,5.0,9.0,18.0,21.0,31.0,50.0,80.0,130.0,1.0,2.0,1.0,3.0,1.0,5.0,2.0
22,Alt St. Johann,,,,,,,,,2.0,,,,,,
23,Altdorf,,,,,,,,,3.0,,,,,,
24,Altendorf,24.0,32.0,53.0,80.0,112.0,165.0,244.0,359.0,3.0,4.0,1.0,6.0,2.0,9.0,3.0
25,Altheim,,,,,,,,,1.0,,,,,,
26,Altstadt Kleinbasel,,,,,,,,,1.0,,,,,,
27,Altstätten,15.0,23.0,33.0,59.0,97.0,155.0,248.0,397.0,3.0,5.0,2.0,8.0,3.0,13.0,5.0
28,Alzey,,,,,,,,,2.0,,,,,,
29,Amden,4.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,2.0,2.0,0.0,2.0,0.0,2.0,0.0
30,Amlikon-Bissegg,1.0,1.0,3.0,6.0,10.0,19.0,37.0,70.0,1.0,2.0,1.0,4.0,2.0,8.0,4.0
31,Amlikon-Bissegg Bissegg,,,,,,,,,1.0,,,,,,
32,Amriswil,12.0,15.0,24.0,53.0,95.0,163.0,279.0,477.0,3.0,5.0,2.0,9.0,4.0,15.0,6.0
33,Amriswil-Aachtal,,,,,,,,,1.0,,,,,,
34,Andeer,2.0,3.0,6.0,6.0,6.0,8.0,11.0,16.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
35,Andermatt,2.0,3.0,2.0,2.0,8.0,14.0,26.0,46.0,1.0,2.0,1.0,4.0,2.0,7.0,3.0
36,Anières,5.0,8.0,12.0,25.0,35.0,58.0,95.0,156.0,1.0,2.0,1.0,3.0,1.0,5.0,2.0
37,Anzère,,,,,,,,,3.0,,,,,,
38,Appenzell,36.0,37.0,49.0,67.0,96.0,124.0,159.0,205.0,4.0,5.0,1.0,6.0,1.0,8.0,2.0
39,Aranno,1.0,1.0,1.0,1.0,3.0,4.0,7.0,10.0,1.0,1.0,0.0,2.0,1.0,3.0,1.0
40,Arbaz,4.0,5.0,5.0,8.0,15.0,21.0,31.0,44.0,2.0,3.0,1.0,4.0,1.0,6.0,2.0
41,Arbon,20.0,22.0,131.0,59.0,92.0,208.0,472.0,1071.0,5.0,11.0,6.0,25.0,14.0,57.0,32.0
42,Ardez,,,,,,,,,1.0,,,,,,
43,Ardon,8.0,9.0,10.0,13.0,24.0,32.0,43.0,58.0,6.0,8.0,2.0,11.0,3.0,15.0,4.0
44,Arni BE,,,,,,,,,1.0,,,,,,
45,Arosa,7.0,9.0,13.0,16.0,27.0,38.0,54.0,76.0,6.0,8.0,2.0,11.0,3.0,15.0,4.0
46,Arzo,,,,,,,,,1.0,,,,,,
47,Attalens,4.0,6.0,13.0,26.0,37.0,66.0,116.0,206.0,2.0,4.0,2.0,7.0,3.0,12.0,5.0
48,Au SG,,,,,,,,,1.0,,,,,,
49,Aubonne,11.0,15.0,19.0,30.0,51.0,75.0,111.0,164.0,2.0,3.0,1.0,4.0,1.0,6.0,2.0
50,Auvernier,,,,,,,,,1.0,,,,,,
51,Auw,3.0,3.0,8.0,6.0,15.0,26.0,45.0,78.0,1.0,2.0,1.0,3.0,1.0,5.0,2.0
52,Außerguggenberg,,,,,,,,,1.0,,,,,,
53,Avegno,,,,,,,,,1.0,,,,,,
54,Avenches,3.0,4.0,4.0,9.0,23.0,41.0,73.0,131.0,2.0,4.0,2.0,7.0,3.0,13.0,6.0
55,Avry-devant-Pont,,,,,,,,,2.0,,,,,,
56,Avully,1.0,0.0,5.0,6.0,8.0,inf,inf,inf,1.0,inf,inf,,,,
57,Ayent,3.0,5.0,10.0,13.0,33.0,62.0,116.0,218.0,1.0,2.0,1.0,4.0,2.0,8.0,4.0
58,Aïre,,,,,,,,,2.0,,,,,,
59,Baar,71.0,85.0,141.0,187.0,290.0,416.0,596.0,854.0,62.0,89.0,27.0,128.0,39.0,183.0,55.0
60,Babenhausen,,,,,,,,,2.0,,,,,,
61,Bachenbülach,8.0,11.0,21.0,35.0,72.0,126.0,221.0,387.0,3.0,5.0,2.0,9.0,4.0,16.0,7.0
62,Bad Ragaz,3.0,4.0,10.0,21.0,45.0,91.0,183.0,370.0,4.0,8.0,4.0,16.0,8.0,32.0,16.0
63,Bad Zurzach,7.0,9.0,14.0,18.0,24.0,33.0,45.0,61.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
64,Baden,44.0,55.0,81.0,116.0,203.0,300.0,442.0,653.0,10.0,15.0,5.0,22.0,7.0,33.0,11.0
65,Baden-Dättwil,,,,,,,,,1.0,,,,,,
66,Balerna,1.0,1.0,2.0,5.0,24.0,62.0,159.0,410.0,2.0,5.0,3.0,13.0,8.0,34.0,21.0
67,Balgach,7.0,11.0,20.0,35.0,43.0,68.0,109.0,174.0,1.0,2.0,1.0,3.0,1.0,5.0,2.0
68,Ballaigues,0.0,1.0,2.0,5.0,8.0,inf,inf,inf,2.0,inf,inf,,,,
69,Ballens,0.0,0.0,1.0,2.0,8.0,,,,1.0,,,,,,
70,Ballwil,3.0,8.0,15.0,24.0,28.0,51.0,93.0,171.0,2.0,4.0,2.0,7.0,3.0,13.0,6.0
71,Barmelweid,,,,,,,,,1.0,,,,,,
72,Bas-Vully,,,,,,,,,1.0,,,,,,
73,Basel,157.0,207.0,332.0,511.0,785.0,1177.0,1765.0,2646.0,5.0,7.0,2.0,10.0,3.0,15.0,5.0
74,Bauen,,,,,,,,,1.0,,,,,,
75,Bauma,9.0,15.0,21.0,24.0,36.0,51.0,73.0,105.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
76,Bavois,4.0,5.0,6.0,7.0,12.0,16.0,21.0,28.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
77,Bazenheid,,,,,,,,,1.0,,,,,,
78,Beckenried,9.0,11.0,20.0,25.0,37.0,53.0,77.0,111.0,3.0,4.0,1.0,6.0,2.0,9.0,3.0
